"","","Tmean"
1,1,0
2,1,0.384615384615385
3,1,0.769230769230769
4,1,1.15384615384615
5,1,1.53846153846154
6,1,1.92307692307692
7,1,2.30769230769231
8,1,2.69230769230769
9,1,3.07692307692308
10,1,3.46153846153846
11,1,3.84615384615385
12,1,4.23076923076923
13,1,4.61538461538462
14,1,5
15,1,5.38461538461539
16,1,5.76923076923077
17,1,6.15384615384615
18,1,6.53846153846154
19,1,6.92307692307692
20,1,7.30769230769231
21,1,7.69230769230769
22,1,8.07692307692308
23,1,8.46153846153846
24,1,8.84615384615385
25,1,9.23076923076923
26,1,9.61538461538462
27,1,10
28,1,10.3846153846154
29,1,10.7692307692308
30,1,11.1538461538462
31,1,11.5384615384615
32,1,11.9230769230769
33,1,12.3076923076923
34,1,12.6923076923077
35,1,13.0769230769231
36,1,13.4615384615385
37,1,13.8461538461538
38,1,14.2307692307692
39,1,14.6153846153846
40,1,15
